Nro. Docto;Item;Desc Item;Un Medida;Família Material;Descrição;Família Comercial;Descrição;Estab;Dep;Loc;Quantidade;Lote/Serie;Validade do Lote;Data Ult. Transf.;Usuario;Item Controle Qualidade;Hora do Movimento
2434329;96051151;MICRO-ONDAS PMO34IP 127V;PC;50000;MICROONDAS;950217;PMO34IP;31;QLD;;1;;?;02/03/2024;ana.amaral;Não;08:18:28
ESNxESE;96051151;MICRO-ONDAS PMO34IP 127V;PC;50000;MICROONDAS;950217;PMO34IP;31;ESE;;1374;;?;23/02/2024;oriane.dias;Não;16:46:58
64568;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;AJT;;9;;?;29/02/2024;correa.ferna;Não;16:25:48
242886;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;EX2;;1;;?;27/02/2024;tarefa.auto;Não;13:39:01
4428;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;ex3;;2293;;?;01/03/2024;integra.out;Não;19:30:27
2434330;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;QL2;;2;;?;02/03/2024;ana.amaral;Não;08:18:30
2426379;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;NC3;;1;;?;26/02/2024;ana.amaral;Não;08:37:46
2434330;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;qld;;10;;?;02/03/2024;ana.amaral;Não;08:18:30
455;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;ESF;;236;;?;26/01/2024;oriane.dias;Não;16:56:12
7772;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;ESE;;1051;;?;29/02/2024;tarefa.auto;Não;23:32:24
64405;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;DCT;;3;;?;19/02/2024;duarte.vanes;Não;14:39:44
39304;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;DV3;;27;;?;23/02/2024;duarte.vanes;Não;08:08:56
2395242;96051153;MICRO-ONDAS PMO42EB 127V;PC;50000;MICROONDAS;950219;PMO42EB;31;nc2;;11;;?;31/01/2024;evelin.rosa;Não;21:58:08
ESFXESN;96051160;MICRO-ONDAS BMO29EB 127V;PC;50000;MICROONDAS;950230;BMO29EB;31;ESN;;1;;?;24/11/2023;andre.crosco;Não;13:09:40
;96051160;MICRO-ONDAS BMO29EB 127V;PC;50000;MICROONDAS;950230;BMO29EB;31;EXP;A2-SOLO-02;1;;?;11/01/2024;adriano.brit;Não;11:24:46
Retrabalho QLD;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;sem;piso-pms;40;;?;09/01/2024;bruno.batalh;Não;16:56:22
244944;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;TR2;;1694;;?;29/02/2024;tarefa.auto;Não;02:06:39
4434;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;EX3;;799;;?;04/03/2024;integra.out;Não;05:29:22
7206;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;ESF;;97;;?;23/02/2024;tarefa.auto;Não;13:16:29
2554070;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;DV3;;5;;?;21/02/2024;duarte.vanes;Não;08:51:16
1175844;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;DAT;;4;;?;18/01/2024;thayane.eric;Não;08:48:42
451;96051172;MICRO-ONDAS PMO37ES 127V;PC;50000;MICROONDAS;950244;PMO37ES;31;ESN;;1;;?;01/03/2024;oriane.dias;Não;15:41:05
64410;96051173;MICRO-ONDAS PMO37EB;PC;50000;MICROONDAS;950245;PMO37EB;31;DV3;;1;;?;19/02/2024;correa.ferna;Não;16:38:24
2398027;96051173;MICRO-ONDAS PMO37EB;PC;50000;MICROONDAS;950245;PMO37EB;31;ESN;;11;;?;02/02/2024;santos.silv;Não;14:28:07
2550811;96051173;MICRO-ONDAS PMO37EB;PC;50000;MICROONDAS;950245;PMO37EB;31;BEC;;5;;?;05/02/2024;isabela.heni;Não;16:41:07
2429725;96051174;MICRO-ONDAS PMO37BB 127V;PC;50000;MICROONDAS;950246;PMO37BB;31;QL2;;1;;?;28/02/2024;daiane.luza;Não;09:39:18
1175834;96051174;MICRO-ONDAS PMO37BB 127V;PC;50000;MICROONDAS;950246;PMO37BB;31;DAT;;1;;?;18/01/2024;thayane.eric;Não;09:11:27
2429725;96051174;MICRO-ONDAS PMO37BB 127V;PC;50000;MICROONDAS;950246;PMO37BB;31;QLD;;2;;?;28/02/2024;daiane.luza;Não;09:39:18
241024;96051179;MICRO-ONDAS PMB26IEB 127V;PC;50001;MICROONDAS DE EMBUTIR;950251;PMB26IEB;31;EX2;;200;;?;26/01/2024;tarefa.auto;Não;16:05:34
4394;96051179;MICRO-ONDAS PMB26IEB 127V;PC;50001;MICROONDAS DE EMBUTIR;950251;PMB26IEB;31;EX3;;168;;?;17/02/2024;integra.out;Não;14:26:04
INV 02/07/2023;96051185;MICRO-ONDAS PMO27EB 127V;PC;50000;MICROONDAS;950257;PMO27EB;31;QLD;;1;;?;03/07/2023;ester.ferrei;Não;14:27:25
;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;SEM;PISO-PMS;1;;?;01/11/2023;erik.alves;Não;09:41:48
2434212;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;qld;;49;;?;01/03/2024;daiane.quell;Não;22:18:34
2415521;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;NC3;;1;;?;14/02/2024;roberto.marq;Não;16:08:09
TRANSF.JVL;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;esn;;1;;?;16/02/2024;oriane.dias;Não;09:00:21
2415521;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;DV3;;3;;?;14/02/2024;roberto.marq;Não;16:08:09
2427900;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;QL2;;6;;?;27/02/2024;daiane.luza;Não;07:58:44
2550809;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;bec;;3;;?;05/02/2024;isabela.heni;Não;16:39:27
64525;96051187;MICRO-ONDAS PMO30ES 127V;PC;50000;MICROONDAS;950259;PMO30ES;31;DAT;;1;;?;27/02/2024;isabela.heni;Não;16:21:40
INV 07/11/2023;96051195;MICROONDAS PMO230 127V;PC;50000;MICROONDAS;950268;PMO230;31;EX3;;1;;?;08/11/2023;ester.ferrei;Não;15:48:45
747;96051199;MICRO-ONDAS PMO28B 127V;PC;50000;MICROONDAS;950276;MICRO-ONDAS PMO28B;31;EST;;187;;?;01/03/2024;farias.lucas;Não;07:09:39
SOLIC. CURITIBA;96051199;MICRO-ONDAS PMO28B 127V;PC;50000;MICROONDAS;950276;MICRO-ONDAS PMO28B;31;EXP;A2-0679B;14;;?;22/02/2024;liniker;Não;15:09:49
TRANSF;96051199;MICRO-ONDAS PMO28B 127V;PC;50000;MICROONDAS;950276;MICRO-ONDAS PMO28B;31;EXP;A2-0680B;16;;?;19/01/2024;rafael.franc;Não;15:21:33
TRANSF;96051199;MICRO-ONDAS PMO28B 127V;PC;50000;MICROONDAS;950276;MICRO-ONDAS PMO28B;31;EXP;A2-0680C;16;;?;19/01/2024;rafael.franc;Não;15:21:33
TRANSF;96051199;MICRO-ONDAS PMO28B 127V;PC;50000;MICROONDAS;950276;MICRO-ONDAS PMO28B;31;EXP;A2-0680D;16;;?;19/01/2024;rafael.franc;Não;15:21:33
